# Base URL,https://cnbissolution.github.io/cb_ai,,,,,,
# Requirement Link 컬럼은 Base URL 기준 상대 경로다,,,,,,,
Req ID,Type,ASIL,Verification Method,Requirement Link (relative),Implementation Symbols,Verification Symbols,Status
SRS-AEB-101,Functional,QM,Unit Test,req/SRS-AEB-101/,Aeb_Init,(없음),부분 커버 — 초기화 검증 전용 테스트 없음
SRS-AEB-102,Functional,QM,Unit Test,req/SRS-AEB-102/,Aeb_Init,test_initial_state_is_safe / test_functional_scenario_emergency_braking,커버
SRS-AEB-103,Functional,QM,Unit Test,req/SRS-AEB-103/,Aeb_Init,test_initial_state_is_safe / test_functional_scenario_emergency_braking,커버
SRS-AEB-201,Constraint,ASIL-D,Integration / Timing,req/SRS-AEB-201/,Aeb_MainFunction_10ms,(없음),코드로 검증 불가 (설계 리뷰 대상)
SRS-AEB-202,Safety,ASIL-D,Unit Test,req/SRS-AEB-202/,Aeb_MainFunction_10ms,test_functional_scenario_sensor_fault_failsafe,커버
SRS-AEB-203,Safety,ASIL-D,Fault Injection,req/SRS-AEB-203/,Aeb_MainFunction_10ms,test_functional_scenario_sensor_fault_failsafe,커버 (SIL 결함 주입)
SRS-AEB-204,Safety,ASIL-D,Fault Injection,req/SRS-AEB-204/,Aeb_MainFunction_10ms,test_functional_scenario_sensor_fault_failsafe,커버 (SIL 결함 주입)
SRS-AEB-205,Safety,ASIL-D,Fault Injection,req/SRS-AEB-205/,(없음),NullPointer_Injection_NoCrash,고아 테스트 — 요구사항 미승인 (제안)
SRS-AEB-206,Safety,ASIL-D,Fault Injection,req/SRS-AEB-206/,(없음),NullPointer_Injection_NoCrash,고아 테스트 — 요구사항 미승인 (제안)
SRS-AEB-301,Functional,ASIL-B,Unit Test,req/SRS-AEB-301/,Aeb_MainFunction_10ms,PedestrianWeight_TriggersEmergencyBrake,부분 커버 — 카메라 타겟 수집 미구현 (D-1)
SRS-AEB-302,Functional,ASIL-D,Boundary Value,req/SRS-AEB-302/,CalculateTTC,CalculateTTC_DivideByZero_Prevention / test_functional_scenario_target_receding_no_braking / test_functional_scenario_invalid_target_no_braking,커버 (T/F 양측)
SRS-AEB-303,Functional,ASIL-D,Unit Test,req/SRS-AEB-303/,CalculateTTC,test_functional_scenario_emergency_braking,커버
SRS-AEB-304,Functional,ASIL-D,Equivalence,req/SRS-AEB-304/,CalculateTTC,CalculateTTC_DivideByZero_Prevention / test_functional_scenario_target_receding_no_braking / test_functional_scenario_invalid_target_no_braking,커버
SRS-AEB-305,Functional,ASIL-A,Equivalence,req/SRS-AEB-305/,Aeb_MainFunction_10ms,PedestrianWeight_TriggersEmergencyBrake / NoPedestrian_TtcAboveThreshold_ReleasesBrake / test_functional_scenario_pedestrian_weight_advances_braking,커버
SRS-AEB-306,Functional,ASIL-D,Boundary Value,req/SRS-AEB-306/,CalculateTTC,(없음),DEFECT: 도달 불가 — 검증 불가 (D-2)
SRS-AEB-401,Safety,ASIL-D,Boundary Value,req/SRS-AEB-401/,Aeb_MainFunction_10ms,PedestrianWeight_TriggersEmergencyBrake / test_functional_scenario_emergency_braking,커버
SRS-AEB-402,Safety,ASIL-D,Unit Test,req/SRS-AEB-402/,Aeb_MainFunction_10ms,NoPedestrian_TtcAboveThreshold_ReleasesBrake / test_functional_scenario_emergency_braking,커버
